,Title,Society,Locality,Region,Country,Total Price,Price per Sqft,latitude,longitude,No of Rooms,Residence Type,Seller Name,Description,Site URL
0,"1 BHK Flat for Sale in Jeedimetla, Hyderabad",,Jeedimetla,Hyderabad,IN,₹26 Lac,"₹4,643 per sqft",17.411479949951172,78.50617980957031,1.0,Apartment,Jeevan,"1 BHK, Multistorey Apartment is available for Sale in Jeedimetla, Hyderabad for 26.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-560-Sq-ft-Multistorey-Apartment-FOR-Sale-Jeedimetla-in-Hyderabad&id=4d423736393130343435
1,1 BHK Villa for Sale in Mokila Hyderabad,,Mokila,Hyderabad,IN,₹3.15 Cr,"₹9,545 per sqft",17.4403882278925,78.1915599049799,1.0,SingleFamilyResidence,jyothi varma,"Santorini Villas Kollur ORR 23 acres 231 luxury 5BHK Triplex Villas Plots 222 267 sq. yds. Builtup 3,300 to 4,000 sft 40,000 sft clubhouse 2 car parks Near ORR Exit2, KollurICFAI 3 km Indus 2 km Vijetha 750 m From 3.15 Cr onwardsEast 10,799 West 9,799 per sftAmenities 12L Handover June 2028 Neopolis ORR Exit2 Khanapur Rd Site",https://www.magicbricks.com/propertyDetails/1-BHK-3300-Sq-ft-Villa-FOR-Sale-Mokila-in-Hyderabad&id=4d423534373138393033
2,"1 BHK Flat for Sale in Bongloor, Outer Ring Road, Hyderabad",Sri Sri Gruhanirman Aero City,Bongloor,Hyderabad,IN,₹31 Lac,"₹4,532 per sqft",17.228407,78.568767,1.0,Apartment,Krishna Teja,"1 BHK, Multistorey Apartment is available for Sale in Bongloor, Hyderabad for 31.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-684-Sq-ft-Multistorey-Apartment-FOR-Sale-Bongloor-in-Hyderabad&id=4d423831383333383039
3,"1 BHK Flat for Sale in Rajendranagar Mandal, Hyderabad",Provident Kenworth,Rajendranagar Mandal,Hyderabad,IN,₹49 Lac,,17.308096,78.39665,1.0,Apartment,Irfan Ahmed,"Property DetailsThis beautiful 1 BHK flat is available for sale in the well-developed area of Rajendranagar Mandal, Hyderabad. The property is part of the reputed Provident Kenworth Project and is ready to move in. The flat offers a super built-up area of 750 square feet and a carpet area of 615 square feet, providing comfortable space for small families or individuals. The apartment is located on the 7th floor of a 10-floor building, ensuring a good view and ventilation. It is an excellent choice for buyers looking for a modern home in a prime residential locality of Hyderabad.Property SpecificationsThe flat includes 1 bedroom, 1 bathroom, and 1 balcony, offering a balanced layout for comfortable living. It comes unfurnished, allowing the buyer to design the interiors according to their taste. The apartment has a living cum dining area with tile flooring, which adds to the durability and aesthetics of the home. The property faces west, ensuring ample natural light throughout the day. Designed for convenience, the flat offers all essential fittings and fixtures, making it suitable for immediate occupation.FacilityProvident Kenworth is a premium residential community equipped with all necessary amenities to ensure a safe and comfortable living experience. The project offers 24-hour water availability, power backup, and dedicated parking facilities. Residents can also enjoy access to security guard services, CCTV surveillance, and lifts, ensuring both safety and convenience. The community is well maintained and designed to provide a peaceful lifestyle within city limits.LocalityLocated in Rajendra nagar Mandal, this property enjoys excellent connectivity to major parts of Hyderabad through well-developed road networks. The area is known for its proximity to schools, hospitals, supermarkets, and entertainment hubs. It is a peaceful residential neighborhood that also provides easy access to commercial zones. The locality's infrastructure development and urban amenities make it an ideal choice for families and working professionals looking for a home that combines convenience with comfort.",https://www.magicbricks.com/propertyDetails/1-BHK-615-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajendra-Nagar-in-Hyderabad&id=4d423831303631333737
4,"1 BHK Flat for Sale in Saket, Secunderabad, Hyderabad",Saket Pranaam,Saket,Hyderabad,IN,₹29 Lac,"₹6,118 per sqft",17.4984585,78.573637,1.0,Apartment,Ashok,"1 BHK, Multistorey Apartment is available for Sale in Saket, Hyderabad for 29.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-474-Sq-ft-Multistorey-Apartment-FOR-Sale-Saket-in-Hyderabad&id=4d423831393636353633
5,"1 BHK Flat for Sale in Miyapur, NH 9, Hyderabad",Nebula Aavaas,Miyapur,Hyderabad,IN,₹42 Lac,"₹6,919 per sqft",17.524121,78.355737,1.0,Apartment,Kumaraswamy Sripathy,"1 BHK, Multistorey Apartment is available for Sale in Miyapur, Hyderabad for 42.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-607-Sq-ft-Multistorey-Apartment-FOR-Sale-Miyapur-in-Hyderabad&id=4d423832363636393431
6,"1 BHK House for Sale in Ramanthapur, NH 2 2 Hyderabad",,Ramanthapur,Hyderabad,IN,₹59 Lac,"₹10,536 per sqft",17.389999,78.543907,1.0,SingleFamilyResidence,Shiva Praba,new house 1 year old home,https://www.magicbricks.com/propertyDetails/1-BHK-560-Sq-ft-Residential-House-FOR-Sale-Ramanthapur-in-Hyderabad&id=4d423832333434343935
7,"1 BHK Flat for Sale in Bachupally, Hyderabad",,Bachupally,Hyderabad,IN,₹35 Lac,"₹4,861 per sqft",17.554616928100586,78.36319732666016,1.0,Apartment,akhila,this is a penthouse full ventilation and very near mean 50 mtrs to bus stop,https://www.magicbricks.com/propertyDetails/1-BHK-720-Sq-ft-Multistorey-Apartment-FOR-Sale-Bachupally-in-Hyderabad&id=4d423832363437373339
8,"1 BHK Flat for Sale in Sainikpuri, Hyderabad",,Sainikpuri,Hyderabad,IN,₹26.8 Lac,"₹5,360 per sqft",17.505786895751953,78.56515502929688,1.0,Apartment,ravi varma,"Property SpecificationsThis 1 BHK flat offers a super built-up area of 500 sq. ft and is situated on the 3rd floor of a 3-storey building. The apartment is fully furnished and ready to move in, featuring one bedroom and one bathroom, making it ideal for singles or small families seeking a compact, comfortable living space.FacilitiesThe property comes with essential furnishings and well-maintained interiors. Its functional layout ensures efficient use of space and provides adequate natural light and ventilation.LocalityLocated in the well-established residential area of Sainikpuri, Hyderabad, the flat is close to schools such as Shantiniketan International School and Foster Billabong High International School. It offers convenient access to transportation hubs like Vampuguda Bus Stop, shopping centres including Secunderabad Centre Mall, hospitals such as Meda Hospital, and local commercial hubs, ensuring a balanced and accessible urban lifestyle.",https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-Sainikpuri-in-Hyderabad&id=4d423832333235343831
9,"1 BHK Flat for Sale in Aditya Nagar Adibatla, Hyderabad",Sri Sri Gruhanirman Aero City,Aditya Nagar Adibatla,Hyderabad,IN,₹35 Lac,"₹4,916 per sqft",17.228407,78.568767,1.0,Apartment,Akhil,"This ready-to-move 1 BHK flat offers a modern lifestyle in the well-planned Sri Sri Gruhanirman Aero City, located in Aditya Nagar, Adibatla. Perfect for first-time homebuyers or investors looking for a premium residential option in a developing area.Property SpecificationsThe flat spans a super built-up area of 712 sq. ft., featuring 1 bedroom, 1 bathroom, and 1 balcony. It is east-facing and situated on the 7th floor of a 7-storey building. The property comes with 1 covered parking space and is offered unfurnished, allowing buyers to customise interiors to their preference.FacilitiesThe project provides a host of amenities including power backup, rainwater harvesting, a clubhouse, swimming pool, gymnasium, and landscaped gardens. These facilities ensure a comfortable and modern living experience.LocalityLocated in Aditya Nagar, Adibatla, the flat is close to the TCS office and well-connected to key areas of Hyderabad. The area offers access to shopping, schools, and other essential services, making it a convenient choice for urban living.",https://www.magicbricks.com/propertyDetails/1-BHK-712-Sq-ft-Multistorey-Apartment-FOR-Sale-Aditya-Nagar-Adibatla-in-Hyderabad&id=4d423830363038343135
10,"1 BHK Flat for Sale in Miyapur, NH 9, Hyderabad",Mythrlbhavan,Miyapur,Hyderabad,IN,₹40.5 Lac,"₹6,183 per sqft",17.4958383,78.3426577,1.0,Apartment,sushil,"Mythri Bhavan, which is 100 meters away from the Mumbai highway.Near to St.annas school.",https://www.magicbricks.com/propertyDetails/1-BHK-655-Sq-ft-Multistorey-Apartment-FOR-Sale-Miyapur-in-Hyderabad&id=4d423831393835353235
11,"1 BHK Flat for Sale in Mahalneknapur, Hyderabad",Aur Vridhi Urban Lake Front,Mahalneknapur,Hyderabad,IN,₹36 Lac,"₹9,474 per sqft",17.3926694,78.3742501,1.0,Apartment,Vimal Singh,"1 BHK, Multistorey Apartment is available for Sale in Mahalneknapur, Hyderabad for 36.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-380-Sq-ft-Multistorey-Apartment-FOR-Sale-Mahalneknapur-in-Hyderabad&id=4d423832373233353431
12,"1 BHK Flat for Sale in Ayyappa Society, Hyderabad",,,Hyderabad,IN,₹28 Lac,"₹6,221 per sqft",17.4552016361398,78.3894803420079,1.0,Apartment,Shiva D,"Studio Flats 1RK for Sale Ayyappa Society, Madhapur Prime Location on 100 Feet Road Just 500m from Cyber Towers--- Property Highlights Flats per Floor 6 Units Available 7 All on 6th Floor Built-up Area 450 sq.ft. Facing East West Total Land Area 300 sq. yds Building G6 Car Parking Not Available Bike Parking Available Handover in 3 Months--- Price 28 Lakhs Booking Amount 5 Lakhs Balance Payment Within 30 Days...",https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-Ayyappa-Society-in-Hyderabad&id=4d423831383832333833
13,"1 BHK Flat for Sale in LB Nagar, NH 9, Hyderabad",,LB Nagar,Hyderabad,IN,₹30 Lac,"₹3,333 per sqft",17.3583282966385,78.5525463574341,1.0,Apartment,Ashok,"Flat is very near to LB Nagar Mumbai highway road, best suited for your children who stay in Hyderabad for studies, very close to colleges.",https://www.magicbricks.com/propertyDetails/1-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-LB-Nagar-in-Hyderabad&id=4d423831343430323237
14,1 BHK House for Sale in Cherlapally Rampally Ghatkesar Road Hyderabad,,Cherlapally Rampally Ghatkesar Road,Hyderabad,IN,₹99 Lac,"₹5,824 per sqft",17.46275520324707,78.62446594238281,1.0,SingleFamilyResidence,BRK REDDY,"Semi commercial rented base G 2 house in Hmda layout on mini gated community, with in 300 meters from main road",https://www.magicbricks.com/propertyDetails/1-BHK-1700-Sq-ft-Residential-House-FOR-Sale-Cherlapally-Rampally-Ghatkesar-Road-in-Hyderabad&id=4d423831343235303937
15,"1 BHK Flat for Sale in Malkajgiri, Hyderabad",,,Hyderabad,IN,₹17 Lac,"₹2,833 per sqft",17.448486,78.532389,1.0,Apartment,Dasaradhi,"1 BHK, Builder Floor Apartment is available for Sale in Malkajgiri, Hyderabad for 17.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Malkajgiri-in-Hyderabad&id=4d423639313237313135
16,"1 BHK Flat for Sale in Sri Venkateshwara Colony Saroornagar, Hyderabad",,Sri Venkateshwara Colony,Hyderabad,IN,₹23 Lac,"₹5,412 per sqft",17.35399,78.53865,1.0,Apartment,Narsimha  Reddy,"Property Listing Venkateshwaa Colony, Road No. 15 Location SVRS Back Side, Venkateshwaa Colony, Road No. 15 Size 425 sq. ft. Floor 2nd Floor no lift Parking No car parking Age 15 years old Facing Eastfacing HighlightsCompact and affordable unit, ideal for small families or individuals.Eastfacing orientation ensures good natural light and ventilation.Located in a wellconnected residential colony with easy access to amenities.",https://www.magicbricks.com/propertyDetails/1-BHK-425-Sq-ft-Multistorey-Apartment-FOR-Sale-Sri-Venkateshwara-Colony-in-Hyderabad&id=4d423832383330393533
17,1 BHK House for Sale in Park Lane Hyderabad,,Park Lane,Hyderabad,IN,₹1.35 Cr,"₹35,714 per sqft",17.411378860473633,78.5061264038086,1.0,SingleFamilyResidence,A Srinivas,"An elegant 1 BHK independent house for sale in the tranquil locality of Park Lane, Hyderabad. Suitable for small families or those seeking a comfortable yet small home in a prime area.Property SpecificationsSpreading over a super area of 42 sq. yards and carpet area of 35 sq. yards, this ground-floor apartment provides a functional layout that provides a comfortable and economical living place in the city. The property is Vaastu compliant and faces North-East, which is a good direction for calm and positive living.The house has one bedroom, a shared Indian-style bathroom, and a distinct living and dining space that provides a spaciousness within a compact layout. The kitchen is practical and equipped with an adjacent utility area, creating a convenient and organized daily chore solution. Granite flooring across the entire house offers durability and low maintenance.Even with its small size, the house also has the advantage of a covered two-wheeler parking of 10–20 bikes, suitable for families that have more than one bike or have visitors.FacilitiesThe house also benefits from non-interrupted 24-hr water supply from a municipal connection, making everyday living comfortable.LocalityThe area is one of the biggest assets of the property. Right next to a government high school and opposite Pasi High School, the house is located in a vibrant, walkable neighborhood. Schools, hospitals, banks, ATMs, supermarkets and malls for day-to-day essentials are all within walking distance.The public transport, both autos and buses, can be easily accessed from the highway. Also, an MMTS railway station is nearby, within 500 yards, increasing connectivity to the city of Hyderabad.",https://www.magicbricks.com/propertyDetails/1-BHK-42-Sq-yrd-Residential-House-FOR-Sale-Park-Lane-in-Hyderabad&id=4d423830323334343835
18,"1 BHK Flat for Sale in Bachupally, Hyderabad",Rajiv Rajive Swagruha Rajiv Sahira,Bachupally,Hyderabad,IN,₹30 Lac,"₹4,594 per sqft",17.551816,78.3860695,1.0,Apartment,udayalakshmi,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.,https://www.magicbricks.com/propertyDetails/1-BHK-653-Sq-ft-Multistorey-Apartment-FOR-Sale-Bachupally-in-Hyderabad&id=4d423832333935353435
19,"1 BHK Flat for Sale in Rajendranagar Mandal, Hyderabad",,Rajendranagar Mandal,Hyderabad,IN,₹39 Lac,"₹9,750 per sqft",17.308095932006836,78.39665222167969,1.0,Apartment,Afzal,"1 BHK, Multistorey Apartment is available for Sale in Rajendranagar Mandal, Hyderabad for 39.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajendra-Nagar-in-Hyderabad&id=4d423832363339323139
20,1 BHK Flat for Sale in Hyderabad,,,Hyderabad,IN,₹22 Lac,"₹4,400 per sqft",,,1.0,Apartment,T SRINIVAS,"1 BHK, Multistorey Apartment is available for Sale in , Hyderabad for 22.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Hyderabad&id=4d423532343935383533
21,"1 BHK Flat for Sale in Malkajgiri, Hyderabad",Sheetal Apartment,,Hyderabad,IN,₹22 Lac,"₹3,323 per sqft",17.45189065,78.53603625,1.0,Apartment,Ramya,"This 1 BHK apartment, spanning 662 sq. ft., is available for sale in the well-connected locality of Malkajgiri, Hyderabad. Situated on the 2nd floor of a 5-storey building, the property offers a comfortable living space ideal for individuals or small families.Property SpecificationsThe apartment comprises one bedroom, one bathroom, and a balcony, providing a practical layout for daily living. The unit is unfurnished, allowing the new owner the flexibility to furnish and decorate according to personal preferences. The property is ready for immediate occupancy, making it a convenient choice for prospective buyers.FacilitiesResidents of this apartment can enjoy essential amenities such as a reliable water supply and power backup, ensuring uninterrupted services. The building is equipped with lift access, facilitating easy movement between floors. Adequate parking arrangements are available for residents, providing added convenience and security.LocalityMalkajgiri is a well-established locality in Hyderabad, known for its strategic location and excellent connectivity. The area offers easy access to major roads and is well-served by public transport, making commuting convenient. Essential services such as schools, hospitals, shopping centres, and recreational facilities are in close proximity, enhancing the overall living experience.This 1 BHK apartment in Malkajgiri presents a valuable opportunity for those seeking a well-located and well-equipped property for sale.",https://www.magicbricks.com/propertyDetails/1-BHK-662-Sq-ft-Multistorey-Apartment-FOR-Sale-Malkajgiri-in-Hyderabad&id=4d423739333639323933
22,"1 BHK Flat for Sale in Kokapet, Outer Ring Road, Hyderabad",,Kokapet,Hyderabad,IN,₹7.99 Cr,,17.3969314,78.335221,1.0,Apartment,Mahendar Shatri,this is for hostel building for 48 rooms will get around 6 lakhs rent,https://www.magicbricks.com/propertyDetails/1-BHK-200-Sq-ft-Multistorey-Apartment-FOR-Sale-Kokapet-in-Hyderabad&id=4d423832383332303133
